Server: Loading model from game_engine/model/best_model.pth
Server Ready: Batch=4096, Streams=8, Device=cuda
   [Worker 0] Starting Game 1...
   [Worker 3] Starting Game 1...
   [Worker 2] Starting Game 1...
   [Worker 6] Starting Game 1...
   [Worker 5] Starting Game 1...
   [Worker 1] Starting Game 1...
   [Worker 4] Starting Game 1...
   [Worker 7] Starting Game 1...
   [Worker 14] Starting Game 1...
   [Worker 8] Starting Game 1...
   [Worker 10] Starting Game 1...
   [Worker 9] Starting Game 1...
   [Worker 11] Starting Game 1...
   [Worker 13] Starting Game 1...
   [Worker 12] Starting Game 1...
   [Worker 17] Starting Game 1...
   [Worker 16] Starting Game 1...
   [Worker 15] Starting Game 1...
   [Worker 22] Starting Game 1...
   [Worker 21] Starting Game 1...
   [Worker 18] Starting Game 1...
   [Worker 25] Starting Game 1...
   [Worker 19] Starting Game 1...
   [Worker 20] Starting Game 1...
   [Worker 23] Starting Game 1...
   [Worker 29] Starting Game 1...
   [Worker 24] Starting Game 1...
   [Worker 26] Starting Game 1...
   [Worker 27] Starting Game 1...
   [Worker 28] Starting Game 1...
   [Worker 36] Starting Game 1...
   [Worker 30] Starting Game 1...
   [Worker 31] Starting Game 1...
   [Worker 32] Starting Game 1...
   [Worker 34] Starting Game 1...
   [Worker 33] Starting Game 1...
   [Worker 35] Starting Game 1...
   [Worker 37] Starting Game 1...
   [Worker 40] Starting Game 1...
   [Worker 42] Starting Game 1...
   [Worker 38] Starting Game 1...
   [Worker 39] Starting Game 1...
   [Worker 41] Starting Game 1...
   [Worker 43] Starting Game 1...
   [Worker 0] Move 1: a2a3 (14.14s | 113 sim/s)
   [Worker 42] Move 2: d7d5 (37.73s | 42 sim/s)
   [Worker 43] Move 2: g7g6 (34.85s | 46 sim/s)
   [Worker 35] Move 2: d7d5 (34.88s | 46 sim/s)
   [Worker 28] Move 2: b7b5 (38.55s | 42 sim/s)
   [Worker 16] Move 2: c7c6 (38.63s | 41 sim/s)
   [Worker 36] Move 2: b8c6 (37.33s | 43 sim/s)
   [Worker 41] Move 2: g8h6 (35.84s | 45 sim/s)
   [Worker 33] Move 2: g7g5 (36.90s | 43 sim/s)
   [Worker 38] Move 2: d7d6 (36.65s | 44 sim/s)
   [Worker 39] Move 2: a7a6 (37.34s | 43 sim/s)
   [Worker 0] Move 3: c2c3 (36.07s | 44 sim/s)
   [Worker 2] Move 3: b1c3 (36.10s | 44 sim/s)
   [Worker 3] Move 3: a2a4 (34.25s | 47 sim/s)
   [Worker 7] Move 3: a3b1 (32.16s | 50 sim/s)
   [Worker 14] Move 3: c2c4 (30.50s | 52 sim/s)
   [Worker 6] Move 3: b2b4 (34.23s | 47 sim/s)
   [Worker 5] Move 3: b2b4 (34.25s | 47 sim/s)
   [Worker 8] Move 3: d2d4 (33.64s | 48 sim/s)
   [Worker 15] Move 3: a2a4 (34.57s | 46 sim/s)
   [Worker 1] Move 3: b1c3 (34.79s | 46 sim/s)
   [Worker 10] Move 3: g1h3 (33.23s | 48 sim/s)
   [Worker 9] Move 3: b1a3 (31.97s | 50 sim/s)
   [Worker 4] Move 3: f1b5 (33.89s | 47 sim/s)
   [Worker 25] Move 3: g1f3 (33.90s | 47 sim/s)
   [Worker 19] Move 3: g2g4 (31.05s | 52 sim/s)
   [Worker 11] Move 3: f2f3 (33.83s | 47 sim/s)
   [Worker 24] Move 3: g1f3 (32.64s | 49 sim/s)
   [Worker 13] Move 3: g1f3 (34.21s | 47 sim/s)
   [Worker 17] Move 3: c1e3 (35.28s | 45 sim/s)
   [Worker 31] Move 3: b2b3 (31.21s | 51 sim/s)
   [Worker 27] Move 3: d2d4 (32.78s | 49 sim/s)
   [Worker 12] Move 3: g1h3 (34.55s | 46 sim/s)
   [Worker 18] Move 3: a2a4 (35.72s | 45 sim/s)
   [Worker 22] Move 3: d2d4 (35.38s | 45 sim/s)
   [Worker 21] Move 3: g2g3 (34.10s | 47 sim/s)
   [Worker 29] Move 3: b2b4 (34.29s | 47 sim/s)
   [Worker 20] Move 3: b1a3 (34.44s | 46 sim/s)
   [Worker 34] Move 3: f1h3 (33.92s | 47 sim/s)
   [Worker 30] Move 3: e2e4 (33.95s | 47 sim/s)
   [Worker 40] Move 3: a2a4 (34.33s | 47 sim/s)
   [Worker 23] Move 3: f1b5 (33.83s | 47 sim/s)
   [Worker 37] Move 3: a2a4 (34.02s | 47 sim/s)
   [Worker 32] Move 3: a2a3 (33.90s | 47 sim/s)
   [Worker 43] Move 3: g2g4 (33.41s | 48 sim/s)
   [Worker 28] Move 3: b1c3 (33.34s | 48 sim/s)
   [Worker 42] Move 3: g1f3 (33.54s | 48 sim/s)
   [Worker 35] Move 3: a2a4 (33.52s | 48 sim/s)
   [Worker 41] Move 3: a2a3 (33.49s | 48 sim/s)
   [Worker 16] Move 3: d2d4 (34.52s | 46 sim/s)
   [Worker 26] Move 3: d2d4 (34.90s | 46 sim/s)
   [Worker 33] Move 3: d1h5 (34.12s | 47 sim/s)
   [Worker 36] Move 3: f1c4 (34.97s | 46 sim/s)
   [Worker 38] Move 3: b2b3 (33.76s | 47 sim/s)
   [Worker 39] Move 3: c2c3 (32.86s | 49 sim/s)
   [Worker 0] Move 4: g8f6 (30.94s | 52 sim/s)
   [Worker 2] Move 4: c8f5 (32.12s | 50 sim/s)
   [Worker 3] Move 4: f7f6 (31.85s | 50 sim/s)
   [Worker 7] Move 4: c6e5 (31.58s | 51 sim/s)
   [Worker 14] Move 4: g7g6 (31.15s | 51 sim/s)
   [Worker 5] Move 4: c7c6 (31.23s | 51 sim/s)
   [Worker 8] Move 4: f7f5 (31.57s | 51 sim/s)
   [Worker 6] Move 4: c7c6 (34.09s | 47 sim/s)
   [Worker 10] Move 4: g8h6 (31.12s | 51 sim/s)
   [Worker 1] Move 4: c8f5 (32.46s | 49 sim/s)
   [Worker 19] Move 4: h6g8 (31.43s | 51 sim/s)
   [Worker 15] Move 4: f7f5 (34.20s | 47 sim/s)
   [Worker 9] Move 4: b8c6 (33.11s | 48 sim/s)
   [Worker 18] Move 4: a7a6 (29.55s | 54 sim/s)
   [Worker 31] Move 4: e8f7 (31.07s | 51 sim/s)
   [Worker 13] Move 4: g7g6 (31.12s | 51 sim/s)
   [Worker 4] Move 4: g7g5 (34.17s | 47 sim/s)
   [Worker 29] Move 4: g7g6 (30.90s | 52 sim/s)
   [Worker 17] Move 4: h7h5 (32.57s | 49 sim/s)
   [Worker 25] Move 4: c7c5 (34.30s | 47 sim/s)
   [Worker 11] Move 4: g8f6 (34.29s | 47 sim/s)
   [Worker 28] Move 4: b8c6 (30.06s | 53 sim/s)
   [Worker 20] Move 4: e7e5 (32.28s | 50 sim/s)
   [Worker 12] Move 4: f7f5 (33.75s | 47 sim/s)
   [Worker 24] Move 4: c7c5 (34.28s | 47 sim/s)
   [Worker 34] Move 4: h7h5 (32.35s | 49 sim/s)
   [Worker 41] Move 4: h6f5 (30.16s | 53 sim/s)
   [Worker 43] Move 4: g6g5 (31.29s | 51 sim/s)
   [Worker 22] Move 4: g8f6 (34.25s | 47 sim/s)
   [Worker 37] Move 4: c7c6 (33.65s | 48 sim/s)
   [Worker 42] Move 4: f7f5 (32.53s | 49 sim/s)
   [Worker 30] Move 4: d7d5 (33.87s | 47 sim/s)
   [Worker 27] Move 4: d7d6 (36.35s | 44 sim/s)
   [Worker 40] Move 4: b7b5 (33.87s | 47 sim/s)
   [Worker 21] Move 4: a6c5 (35.63s | 45 sim/s)
   [Worker 23] Move 4: f7f6 (34.87s | 46 sim/s)
   [Worker 38] Move 4: c8e6 (31.33s | 51 sim/s)
   [Worker 32] Move 4: c7c6 (35.36s | 45 sim/s)
   [Worker 16] Move 4: d7d5 (33.26s | 48 sim/s)
   [Worker 35] Move 4: c8g4 (34.89s | 46 sim/s)
   [Worker 26] Move 4: c6a5 (34.00s | 47 sim/s)
   [Worker 36] Move 4: d7d6 (34.40s | 47 sim/s)
   [Worker 33] Move 4: g8h6 (35.34s | 45 sim/s)
   [Worker 39] Move 4: b7b5 (33.65s | 48 sim/s)
   [Worker 0] Move 5: c3c4 (33.80s | 47 sim/s)
   [Worker 3] Move 5: d2d4 (33.73s | 47 sim/s)
   [Worker 7] Move 5: e2e4 (32.59s | 49 sim/s)
   [Worker 14] Move 5: d2d4 (32.29s | 50 sim/s)
   [Worker 2] Move 5: e2e3 (37.06s | 43 sim/s)
   [Worker 5] Move 5: b1a3 (33.91s | 47 sim/s)
   [Worker 8] Move 5: b1c3 (32.43s | 49 sim/s)
   [Worker 6] Move 5: b1a3 (32.62s | 49 sim/s)
   [Worker 10] Move 5: b2b3 (33.04s | 48 sim/s)
   [Worker 19] Move 5: b2b3 (32.92s | 49 sim/s)
   [Worker 4] Move 5: f2f3 (32.90s | 49 sim/s)
   [Worker 13] Move 5: f3e5 (33.11s | 48 sim/s)
   [Worker 18] Move 5: g2g4 (33.19s | 48 sim/s)
   [Worker 1] Move 5: e2e3 (36.16s | 44 sim/s)
   [Worker 9] Move 5: f1d3 (35.71s | 45 sim/s)
   [Worker 31] Move 5: f2f4 (34.57s | 46 sim/s)
   [Worker 12] Move 5: f2f3 (33.44s | 48 sim/s)
   [Worker 25] Move 5: c1d2 (34.96s | 46 sim/s)
   [Worker 17] Move 5: f2f4 (35.00s | 46 sim/s)
   [Worker 15] Move 5: c2c4 (37.71s | 42 sim/s)
   [Worker 24] Move 5: c1d2 (33.30s | 48 sim/s)
   [Worker 28] Move 5: g2g4 (33.65s | 48 sim/s)
   [Worker 29] Move 5: b1c3 (35.16s | 46 sim/s)
   [Worker 43] Move 5: e2e4 (33.85s | 47 sim/s)
   [Worker 34] Move 5: f2f3 (33.93s | 47 sim/s)
   [Worker 41] Move 5: b1c3 (33.95s | 47 sim/s)
   [Worker 11] Move 5: h2h4 (36.40s | 44 sim/s)
   [Worker 37] Move 5: d2d4 (33.90s | 47 sim/s)
   [Worker 40] Move 5: d2d4 (33.78s | 47 sim/s)
   [Worker 42] Move 5: c2c3 (33.91s | 47 sim/s)
   [Worker 27] Move 5: b2b4 (33.86s | 47 sim/s)
   [Worker 20] Move 5: a3c4 (36.87s | 43 sim/s)
   [Worker 23] Move 5: h2h4 (33.49s | 48 sim/s)
   [Worker 30] Move 5: c2c4 (34.69s | 46 sim/s)
   [Worker 32] Move 5: c2c4 (34.12s | 47 sim/s)
   [Worker 22] Move 5: c1g5 (36.62s | 44 sim/s)
   [Worker 21] Move 5: f2f3 (35.25s | 45 sim/s)
   [Worker 26] Move 5: b1a3 (33.58s | 48 sim/s)
   [Worker 38] Move 5: e2e4 (34.93s | 46 sim/s)
   [Worker 16] Move 5: g2g4 (34.93s | 46 sim/s)
   [Worker 36] Move 5: g1e2 (33.68s | 48 sim/s)
   [Worker 33] Move 5: h2h4 (34.57s | 46 sim/s)
   [Worker 35] Move 5: e1f2 (36.84s | 43 sim/s)
   [Worker 39] Move 5: b1a3 (33.44s | 48 sim/s)
   [Worker 0] Move 6: g7g6 (33.38s | 48 sim/s)
   [Worker 2] Move 6: g8f6 (32.69s | 49 sim/s)
   [Worker 5] Move 6: b6b5 (31.15s | 51 sim/s)
   [Worker 7] Move 6: d7d5 (34.37s | 47 sim/s)
   [Worker 14] Move 6: f7f6 (34.70s | 46 sim/s)
   [Worker 3] Move 6: b8a6 (36.68s | 44 sim/s)
   [Worker 10] Move 6: b7b5 (30.82s | 52 sim/s)
   [Worker 8] Move 6: h7h5 (35.92s | 45 sim/s)
   [Worker 6] Move 6: b6b5 (35.89s | 45 sim/s)
   [Worker 19] Move 6: c7c5 (33.22s | 48 sim/s)
   [Worker 18] Move 6: c6e5 (32.53s | 49 sim/s)
   [Worker 13] Move 6: a7a6 (32.72s | 49 sim/s)
   [Worker 1] Move 6: g8f6 (32.60s | 49 sim/s)
   [Worker 31] Move 6: g8h6 (32.64s | 49 sim/s)
   [Worker 12] Move 6: a7a6 (31.19s | 51 sim/s)
   [Worker 29] Move 6: e7e6 (31.07s | 51 sim/s)
   [Worker 9] Move 6: a7a5 (33.20s | 48 sim/s)
   [Worker 25] Move 6: g7g6 (31.28s | 51 sim/s)
   [Worker 34] Move 6: h5g4 (30.94s | 52 sim/s)
   [Worker 15] Move 6: e7e5 (32.55s | 49 sim/s)
   [Worker 28] Move 6: a8b8 (32.95s | 49 sim/s)
   [Worker 4] Move 6: f7f6 (36.40s | 44 sim/s)
   [Worker 11] Move 6: h7h5 (32.40s | 49 sim/s)
   [Worker 24] Move 6: g7g6 (34.51s | 46 sim/s)
   [Worker 42] Move 6: f5f4 (32.42s | 49 sim/s)
   [Worker 37] Move 6: g6g5 (32.51s | 49 sim/s)
   [Worker 43] Move 6: h7h5 (34.03s | 47 sim/s)
   [Worker 41] Move 6: d7d6 (34.18s | 47 sim/s)
   [Worker 17] Move 6: g5f4 (35.73s | 45 sim/s)
   [Worker 40] Move 6: d7d6 (33.71s | 47 sim/s)
   [Worker 27] Move 6: a7a5 (33.88s | 47 sim/s)
   [Worker 20] Move 6: f8d6 (33.60s | 48 sim/s)
   [Worker 26] Move 6: c7c6 (32.72s | 49 sim/s)
   [Worker 32] Move 6: b7b5 (33.30s | 48 sim/s)
   [Worker 23] Move 6: h7h6 (34.92s | 46 sim/s)
   [Worker 30] Move 6: h7h6 (34.78s | 46 sim/s)
   [Worker 36] Move 6: e7e6 (32.91s | 49 sim/s)
   [Worker 38] Move 6: g8f6 (33.63s | 48 sim/s)
   [Worker 21] Move 6: h7h6 (34.22s | 47 sim/s)
   [Worker 22] Move 6: c8b7 (34.48s | 46 sim/s)
   [Worker 16] Move 6: c8g4 (35.41s | 45 sim/s)
   [Worker 35] Move 6: f7f6 (34.01s | 47 sim/s)
   [Worker 33] Move 6: f8g7 (34.93s | 46 sim/s)
   [Worker 39] Move 6: c7c6 (34.65s | 46 sim/s)
   [Worker 0] Move 7: e2e4 (34.34s | 47 sim/s)
   [Worker 5] Move 7: d2d4 (30.14s | 53 sim/s)
   [Worker 14] Move 7: c4c5 (31.48s | 51 sim/s)
   [Worker 2] Move 7: f1a6 (33.51s | 48 sim/s)
   [Worker 7] Move 7: f2f3 (34.21s | 47 sim/s)
   [Worker 8] Move 7: e2e3 (30.80s | 52 sim/s)
   [Worker 3] Move 7: c2c3 (35.20s | 45 sim/s)
   [Worker 10] Move 7: h3g1 (35.42s | 45 sim/s)
   [Worker 6] Move 7: d2d4 (32.51s | 49 sim/s)
   [Worker 19] Move 7: b3b4 (32.18s | 50 sim/s)
   [Worker 12] Move 7: h3f4 (30.94s | 52 sim/s)
   [Worker 1] Move 7: f1a6 (32.83s | 49 sim/s)
   [Worker 18] Move 7: a1a3 (33.27s | 48 sim/s)
   [Worker 13] Move 7: e5f3 (34.03s | 47 sim/s)
   [Worker 31] Move 7: h2h4 (32.76s | 49 sim/s)
   [Worker 25] Move 7: h2h3 (32.21s | 50 sim/s)
   [Worker 29] Move 7: f2f4 (32.44s | 49 sim/s)
   [Worker 34] Move 7: h3g4 (32.49s | 49 sim/s)
   [Worker 9] Move 7: g2g3 (34.03s | 47 sim/s)
   [Worker 15] Move 7: b1a3 (33.56s | 48 sim/s)
   [Worker 11] Move 7: g4h5 (33.31s | 48 sim/s)
   [Worker 37] Move 7: c1d2 (31.97s | 50 sim/s)
   [Worker 4] Move 7: b5c4 (34.54s | 46 sim/s)
   [Worker 28] Move 7: f1g2 (34.68s | 46 sim/s)
   [Worker 43] Move 7: g1f3 (32.97s | 49 sim/s)
   [Worker 17] Move 7: b1c3 (32.77s | 49 sim/s)
   [Worker 24] Move 7: h2h3 (34.42s | 46 sim/s)
   [Worker 42] Move 7: a2a3 (34.13s | 47 sim/s)
   [Worker 26] Move 7: d4d5 (32.32s | 50 sim/s)
   [Worker 41] Move 7: b4b5 (34.77s | 46 sim/s)
   [Worker 32] Move 7: g1e2 (32.41s | 49 sim/s)
   [Worker 40] Move 7: a4b5 (33.94s | 47 sim/s)
   [Worker 27] Move 7: c3c4 (34.75s | 46 sim/s)
   [Worker 20] Move 7: c4d6 (35.41s | 45 sim/s)
   [Worker 36] Move 7: a2a4 (33.24s | 48 sim/s)
   [Worker 21] Move 7: e2e4 (33.38s | 48 sim/s)
   [Worker 30] Move 7: b1c3 (34.02s | 47 sim/s)
   [Worker 22] Move 7: g1f3 (33.81s | 47 sim/s)
   [Worker 23] Move 7: b5c4 (35.21s | 45 sim/s)
   [Worker 38] Move 7: c2c3 (35.02s | 46 sim/s)
   [Worker 35] Move 7: h2h4 (33.14s | 48 sim/s)
   [Worker 16] Move 7: f2f3 (34.30s | 47 sim/s)
   [Worker 39] Move 7: a3b1 (32.32s | 50 sim/s)
   [Worker 33] Move 7: c2c4 (35.35s | 45 sim/s)
   [Worker 0] Move 8: c7c5 (35.92s | 45 sim/s)
   [Worker 5] Move 8: h7h6 (34.63s | 46 sim/s)
   [Worker 14] Move 8: a7a5 (33.55s | 48 sim/s)
   [Worker 2] Move 8: f5d7 (34.50s | 46 sim/s)
   [Worker 7] Move 8: e5d3 (34.10s | 47 sim/s)
   [Worker 10] Move 8: a7a5 (32.18s | 50 sim/s)
   [Worker 3] Move 8: a6b8 (34.98s | 46 sim/s)
   [Worker 8] Move 8: d7d5 (36.94s | 43 sim/s)
   [Worker 6] Move 8: h7h6 (35.71s | 45 sim/s)
   [Worker 13] Move 8: f8g7 (31.84s | 50 sim/s)
   [Worker 31] Move 8: f7e8 (31.84s | 50 sim/s)
   [Worker 12] Move 8: b8c6 (33.23s | 48 sim/s)
   [Worker 1] Move 8: f5d7 (33.17s | 48 sim/s)
   [Worker 34] Move 8: h8h2 (31.90s | 50 sim/s)
   [Worker 19] Move 8: d8c7 (36.74s | 44 sim/s)
   [Worker 29] Move 8: g6g5 (34.51s | 46 sim/s)
   [Worker 9] Move 8: d7d5 (32.96s | 49 sim/s)
   [Worker 25] Move 8: h7h6 (34.80s | 46 sim/s)
   [Worker 18] Move 8: g8h6 (36.11s | 44 sim/s)
   [Worker 11] Move 8: b8c6 (31.98s | 50 sim/s)
   [Worker 37] Move 8: b7b5 (32.07s | 50 sim/s)
   [Worker 15] Move 8: g8e7 (33.27s | 48 sim/s)
   [Worker 17] Move 8: b7b6 (32.45s | 49 sim/s)
   [Worker 24] Move 8: h7h6 (32.01s | 50 sim/s)
   [Worker 4] Move 8: b8c6 (33.43s | 48 sim/s)
   [Worker 28] Move 8: e7e5 (35.35s | 45 sim/s)
   [Worker 41] Move 8: c8e6 (32.92s | 49 sim/s)
   [Worker 26] Move 8: a7a6 (33.14s | 48 sim/s)
   [Worker 43] Move 8: h8h6 (35.26s | 45 sim/s)
   [Worker 32] Move 8: c8b7 (33.39s | 48 sim/s)
   [Worker 42] Move 8: g7g5 (35.18s | 45 sim/s)
   [Worker 20] Move 8: e8f8 (32.55s | 49 sim/s)
   [Worker 27] Move 8: a8a7 (33.97s | 47 sim/s)
   [Worker 40] Move 8: f7f6 (35.96s | 44 sim/s)
   [Worker 21] Move 8: d7d6 (34.01s | 47 sim/s)
   [Worker 23] Move 8: h6h5 (34.07s | 47 sim/s)
   [Worker 36] Move 8: c6b4 (35.48s | 45 sim/s)
   [Worker 22] Move 8: e7e6 (34.81s | 46 sim/s)
   [Worker 30] Move 8: c8f5 (35.73s | 45 sim/s)
   [Worker 35] Move 8: d8c8 (33.45s | 48 sim/s)
   [Worker 39] Move 8: d8a5 (32.86s | 49 sim/s)
   [Worker 38] Move 8: e6c4 (35.67s | 45 sim/s)
   [Worker 16] Move 8: g4c8 (34.49s | 46 sim/s)
   [Worker 33] Move 8: g7d4 (35.03s | 46 sim/s)
   [Worker 5] Move 9: h2h4 (31.49s | 51 sim/s)
   [Worker 0] Move 9: d2d4 (34.83s | 46 sim/s)
   [Worker 14] Move 9: b4a5 (31.17s | 51 sim/s)
   [Worker 7] Move 9: f1d3 (32.84s | 49 sim/s)
   [Worker 2] Move 9: c3e2 (33.16s | 48 sim/s)
   [Worker 3] Move 9: g1f3 (31.43s | 51 sim/s)
   [Worker 10] Move 9: f2f3 (33.21s | 48 sim/s)
   [Worker 8] Move 9: b2b4 (32.80s | 49 sim/s)
   [Worker 31] Move 9: g1f3 (30.59s | 52 sim/s)
   [Worker 12] Move 9: f4d5 (31.87s | 50 sim/s)
   [Worker 13] Move 9: f3g5 (31.98s | 50 sim/s)
   [Worker 6] Move 9: h2h4 (33.67s | 48 sim/s)
   [Worker 1] Move 9: c3e2 (33.22s | 48 sim/s)
   [Worker 25] Move 9: g2g4 (31.95s | 50 sim/s)
   [Worker 34] Move 9: g4f5 (33.53s | 48 sim/s)
   [Worker 29] Move 9: g1f3 (32.23s | 50 sim/s)
   [Worker 9] Move 9: d3b5 (32.20s | 50 sim/s)
   [Worker 37] Move 9: c4c5 (32.02s | 50 sim/s)
   [Worker 19] Move 9: b4c5 (34.28s | 47 sim/s)
   [Worker 4] Move 9: g1e2 (31.45s | 51 sim/s)
   [Worker 15] Move 9: g2g3 (33.06s | 48 sim/s)
   [Worker 18] Move 9: b2b3 (33.89s | 47 sim/s)
   [Worker 24] Move 9: g2g4 (32.67s | 49 sim/s)
